party;support;support_emor;last;year;month;gov;month_cycle;cycle_constant;cycle;inflats_m_basevalue;inflats_m;unemp;gdpgr;gdpgr_yearly;skp_yearly;support_lag1;bruto;bruto_yearly;inflats_prevyear_base;alko_suits_base;alko_suits_prevyear;eluase_base;eluase_prevyear;irl_meedias;kesk_meedias;ekre_meedias;ref_meedias;sde_meedias;rohel_meedias
ref;0,36;;0,278;2007;3;1;1;49;0,020408163;108,49;1,071362027;5,3;3,7;11,6;10,5;0,27;659,67431;20,14447658;102,71;106,77;102,1;121,69;106,1;;;;;;
ref;0,34;;0,278;2007;4;1;2;49;0,040816327;109,26;0,709742833;4,9;0,2;9,2;9,4;0,36;738,08495;21,16607082;103,44;107,11;102,63;121,75;106,84;;;;;;
ref;0,45;;0,278;2007;5;1;3;49;0,06122449;110,14;0,805418268;4,9;0,2;9,2;9,4;0,34;738,08495;21,16607082;104;107,54;102,98;122,57;107,48;;;;;;
ref;0,43;;0,278;2007;6;1;4;49;0,081632653;110,75;0,553840567;4,9;0,2;9,2;9,4;0,45;738,08495;21,16607082;104,48;107,59;103,18;122,92;109,06;;;;;;
ref;0,43;;0,278;2007;7;1;5;49;0,102040816;111,81;0,957110609;4,1;0,6;6,9;6,8;0,43;696,56091;20,18395596;104,94;108,28;104,13;128,49;109,97;;;;;;
ref;0,44;;0,278;2007;8;1;6;49;0,12244898;112,19;0,339862266;4,1;0,6;6,9;6,8;0,43;696,56091;20,18395596;105,7;108,3;104,21;131,21;112,14;;;;;;
ref;0,42;;0,278;2007;9;1;7;49;0,142857143;113,37;1,051787147;4,1;0,6;6,9;6,8;0,44;696,56091;20,18395596;105,45;108,97;105;131,69;112,97;;;;;;
ref;0,39;;0,278;2007;10;1;8;49;0,163265306;114,54;1,032019053;4,1;-0,3;4,2;5,3;0,42;784,17931;20,14986279;105,34;109,02;104,97;133,11;115,68;;;;;;
ref;0,39;;0,278;2007;11;1;9;49;0,183673469;115,98;1,257202724;4,1;-0,3;4,2;5,3;0,39;784,17931;20,14986279;106,15;109,39;104,99;133,65;117,24;;;;;;
ref;0,39;;0,278;2007;12;1;10;49;0,204081633;116,82;0,724262804;4,1;-0,3;4,2;5,3;0,39;784,17931;20,14986279;106,45;109,52;104,69;135,39;117,89;;;;;;
ref;0,35;;0,278;2008;1;1;11;49;0,224489796;119,26;2,088683445;4,1;-3,2;-2,8;-4,7;0,39;788,47162;19,52437863;107,18;114,4;105,02;140,44;120,6;;;;;;
ref;0,35;;0,278;2008;2;1;12;49;0,244897959;119,7;0,368941808;4,1;-3,2;-2,8;-4,7;0,35;788,47162;19,52437863;107,34;115,26;105,25;140,72;121,46;;;;;;
ref;0,3;;0,278;2008;3;1;13;49;0,265306122;120,68;0,81871345;4,1;-3,2;-2,8;-4,7;0,35;788,47162;19,52437863;108,49;115,37;106,77;140,64;121,69;;;;;;
